fips,npdes_permits_count
37001,22
37003,1
37005,4
37007,12
37009,10
37011,23
37013,11
37015,5
37017,8
37019,14
37021,58
37023,12
37025,11
37027,19
37029,3
37031,19
37033,5
37035,13
37037,107
37039,4
37043,7
37045,16
37047,6
37049,14
37051,9
37053,2
37055,14
37057,39
37059,12
37061,13
37063,406
37065,3
37067,85
37069,7
37071,38
37073,3
37075,5
37077,11
37079,4
37081,31
37083,8
37085,6
37087,34
37089,53
37091,2
37093,4
37095,8
37097,15
37099,26
37101,23
37103,2
37105,9
37107,2
37109,5
37111,11
37113,32
37115,5
37117,8
37119,22
37121,5
37123,5
37125,6
37127,10
37129,26
37131,5
37133,21
37135,112
37137,10
37139,4
37141,9
37143,2
37145,68
37147,7
37149,8
37151,26
37153,5
37155,14
37157,80
37159,13
37161,17
37163,8
37165,6
37167,9
37169,23
37171,24
37173,10
37175,25
37177,2
37179,8
37181,7
37183,56
37185,3
37187,6
37189,34
37191,9
37193,15
37195,1
37197,11
37199,5
