County Names,fips,year,pm25_mean,ozone_8hr_avg,rsei_tox_air
Alamance County,37001,2024,7.13515918,53.41179273,324.8131286
Alexander County,37003,2024,7.409739358,53.243508,2024.897148
Alleghany County,37005,2024,6.194547293,51.95882636,19.58252707
Anson County,37007,2024,7.291796015,52.561749,218.4297719
Ashe County,37009,2024,5.82976341,52.80042846,5.687992049
Avery County,37011,2024,5.495888021,54.722765,599.7615784
Beaufort County,37013,2024,5.624743865,51.41069775,1804.28064
Bertie County,37015,2024,5.864000202,50.244064,989.8663821
Bladen County,37017,2024,6.065156316,52.87465,102.7694366
Brunswick County,37019,2024,5.718173629,53.36108992,604.8489689
Buncombe County,37021,2024,5.673945271,54.98890065,534.2366057
Burke County,37023,2024,6.83313424,53.55958197,2116.594483
Cabarrus County,37025,2024,8.101039316,56.37260658,3293.921333
Caldwell County,37027,2024,6.794208102,52.83608921,2045.173512
Camden County,37029,2024,5.709293078,51.84128,9.227738078
Carteret County,37031,2024,5.274081023,53.26464612,32.73755602
Caswell County,37033,2024,7.074613097,52.21514111,319.5218364
Catawba County,37035,2024,7.799588207,54.40937374,19212.8204
Chatham County,37037,2024,7.173155111,52.52942121,213.0625615
Cherokee County,37039,2024,6.170078965,54.3827337,8.525498776
Chowan County,37041,2024,5.71266774,49.98941857,1145.736422
Clay County,37043,2024,6.102818607,54.2509675,0.014293198
Cleveland County,37045,2024,7.686477424,54.13728026,1082.636187
Columbus County,37047,2024,6.080112287,52.57210542,243.6437054
Craven County,37049,2024,5.486294486,52.4923193,536.8755599
Cumberland County,37051,2024,6.96557303,53.61810965,1000.449768
Currituck County,37053,2024,5.753365528,53.76630333,5.779587689
Dare County,37055,2024,5.514910439,55.42935618,3.69465E-05
Davidson County,37057,2024,8.064574944,56.13614817,4406.251512
Davie County,37059,2024,8.090342774,54.79425037,2036.755301
Duplin County,37061,2024,5.831341081,53.56452491,170.6340046
Durham County,37063,2024,7.267563341,53.0828779,554.5501851
Edgecombe County,37065,2024,6.371622002,52.51046,171.0943097
Forsyth County,37067,2024,7.924931399,55.9927428,28819.11955
Franklin County,37069,2024,6.908625403,52.45934634,245.8872818
Gaston County,37071,2024,7.993056823,55.22330916,3006.96711
Gates County,37073,2024,5.985028333,50.286865,379.8693215
Graham County,37075,2024,5.806838546,55.14908556,2.589847326
Granville County,37077,2024,7.007325055,52.0738141,361.886313
Greene County,37079,2024,6.198979592,53.38834143,121.2985636
Guilford County,37081,2024,7.461742748,55.63919367,6365.638959
Halifax County,37083,2024,6.39711149,51.49786412,4768.357215
Harnett County,37085,2024,7.044877286,53.26017403,206.2985765
Haywood County,37087,2024,5.511189211,55.56682593,1029.753206
Henderson County,37089,2024,6.011213544,54.35068026,320.5192994
Hertford County,37091,2024,6.085886046,50.4060235,1064.25703
Hoke County,37093,2024,7.052136612,53.28613618,89.81999692
Hyde County,37095,2024,5.296870594,51.64343,384.9219882
Iredell County,37097,2024,8.062060688,54.97564099,1316.918501
Jackson County,37099,2024,5.717353983,54.23514407,19.41507709
Johnston County,37101,2024,6.934564257,53.73788854,103.4215493
Jones County,37103,2024,5.558494692,53.08982286,146.21831
Lee County,37105,2024,7.17290823,52.0029075,103.9147581
Lenoir County,37107,2024,5.957008325,53.72711,447.7063243
Lincoln County,37109,2024,7.967679079,55.03043784,2437.341282
Macon County,37113,2024,5.904795809,53.76405357,0.491643054
Madison County,37115,2024,5.532042446,55.89798059,852.4470985
Martin County,37117,2024,5.856752912,50.93663364,309.9141548
McDowell County,37111,2024,5.96671635,54.40386424,95.79500826
Mecklenburg County,37119,2024,8.039921403,56.1065291,8213.918735
Mitchell County,37121,2024,5.425634886,55.69435545,1021.02088
Montgomery County,37123,2024,7.406681412,52.36945909,573.6686274
Moore County,37125,2024,7.184442728,52.11989194,85.83305022
Nash County,37127,2024,6.633786676,52.64765264,220.8986643
New Hanover County,37129,2024,5.352132907,53.37687235,2078.135477
Northampton County,37131,2024,6.285374173,51.04799522,816.9891255
Onslow County,37133,2024,5.397951793,53.22463973,213.111952
Orange County,37135,2024,7.180318073,52.68641174,167.4401314
Pamlico County,37137,2024,5.339421008,52.09579833,476.8676528
Pasquotank County,37139,2024,5.72688966,50.60848812,17.65387335
Pender County,37141,2024,5.253446379,53.16732514,1973.099413
Perquimans County,37143,2024,5.659214517,50.32469467,318.5013219
Person County,37145,2024,7.011994128,51.65911615,375.8531546
Pitt County,37147,2024,6.000760978,52.75675553,365.4386884
Polk County,37149,2024,6.642494015,54.72397944,360.4753665
Randolph County,37151,2024,7.512121072,54.31239455,2158.034214
Richmond County,37153,2024,7.20606679,52.27630524,159.6776399
Robeson County,37155,2024,6.713096477,52.92322121,180.7008489
Rockingham County,37157,2024,7.209227963,53.60810971,565.5351253
Rowan County,37159,2024,8.154839698,55.95145042,4994.642219
Rutherford County,37161,2024,7.004355988,54.52177737,616.4319634
Sampson County,37163,2024,6.312247267,53.62050306,314.8560288
Scotland County,37165,2024,7.071667504,52.63827296,338.5410675
Stanly County,37167,2024,7.730833965,53.83308043,1558.77843
Stokes County,37169,2024,7.275985284,54.0368775,1576.932168
Surry County,37171,2024,6.984725463,52.69703905,773.9434784
Swain County,37173,2024,5.822997824,54.30339545,23.42467902
Transylvania County,37175,2024,5.733154969,53.65886781,57.73962673
Tyrrell County,37177,2024,5.348135792,50.3105,98.87556826
Union County,37179,2024,7.615950272,53.22234561,2511.747245
Vance County,37181,2024,6.808024361,51.43768943,1440.029612
Wake County,37183,2024,7.364235001,53.69428221,751.525902
Warren County,37185,2024,6.575951936,51.26624867,105.4525697
Washington County,37187,2024,5.56707153,49.77156067,776.8159378
Watauga County,37189,2024,5.716956119,53.40905594,203.6558467
Wayne County,37191,2024,6.441778232,53.84324036,58.50663512
Wilkes County,37193,2024,6.742705154,52.03487509,267.0591805
Wilson County,37195,2024,6.597436831,53.042786,306.8150731
Yadkin County,37197,2024,7.571318974,53.42437069,722.1896234
