fips,county,ypll_rate,low_birth_weight_pct,poor_or_fair_health_pct,injury_death_rate,flu_vaccinations_pct,access_exercise_pct,food_environment_index,primary_care_rate,mental_health_provider_rate,preventable_hosp_rate,mammography_pct,severe_housing_pct,income_ratio,life_expectancy,premature_age_adj_mortality,child_mortality_rate,infant_mortality_rate,suicide_rate,homicide_rate,motor_vehicle_mortality_rate,firearm_fatality_rate,drug_overdose_mortality_rate,frequent_physical_distress_pct,diabetes_prevalence_pct,hiv_prevalence_rate,obesity_prevalence_pct,frequent_mental_distress_pct,adult_smoking_pct,physical_inactivity_pct,excessive_drinking_pct,insufficient_sleep_pct,teen_birth_rate,chlamydia_rate,loneliness_pct,food_insecurity_pct,uninsured_adults_pct,uninsured_children_pct
37001,Alamance,9570.5766712,9.4746295465,19.7,98.306630392,50,80.55654406,7.2,38.53299,192.00179,2740,45,13.157894737,4.3171938505,75.398043748,461.00775992,56.771872629,7.1980205444,12.407518111,6.9515089861,14.411664971,14.22705683,31.826617789,13.6,11.3,343.2,38.0,17.8,17.3,25.8,19.589262277,36.7,15.131578947,480.3,32.2,14.3,15.376929708,5.1864389652
37003,Alexander,10846.763323,8.1649151172,17.3,91.670396394,44,47.256064098,7.4,19.10272,90.47789,2975,46,9.6331974805,3.8472704757,74.110219268,520.36632898,62.498046936,,19.077714685,5.3812831285,18.450113584,18.334079279,23.508775102,12.9,9.7,161.4,33.8,17.6,16.2,22.7,20.563716948,34.3,17.944081235,183.5,31.3,14.9,14.364933938,4.9382716049
37005,Alleghany,8598.0525654,8.6257309942,21.1,120.23113089,45,64.887950037,7.3,99.55651999999999,229.23647,2237,44,12.893081761,4.3874273187,77.26032233,423.47712224,,,29.962293431,,24.482958572,21.533933891,,15.2,11.1,70.7,36.6,19.7,19.6,27.2,19.395531165,35.1,29.792017988,143.0,32.4,18.0,20.450778919,6.863780359
37007,Anson,15560.325955,15.363735071,23.4,130.86113424,42,36.005440943,7.5,45.33092,86.76988,3011,44,18.794749403,4.6597134429,70.38965243,711.92741723,123.1284476,,14.346928987,22.602768244,29.145674841,29.741166873,30.720168522,15.1,13.9,412.9,43.1,18.9,20.1,29.0,16.409779062,41.0,30.833151104,887.3,32.9,16.1,15.456368233,4.3597352203
37009,Ashe,9771.2456655,8.9972527473,17.8,98.300800449,50,56.413440193,6.8,48.66909,177.36392999999998,2232,42,8.9978678038,4.3057689025,75.700201121,474.42706572,,,27.334779729,,16.386510202,19.955801595,17.28672503,13.3,9.6,54.0,33.9,18.1,17.4,24.1,20.969580041,33.9,25.101909461,136.5,31.9,16.2,15.757656281,6.4564564565
37011,Avery,9110.6063518,8.9490114464,17.4,87.43243857,49,100.0,8.1,22.3914,478.33267,1707,36,10.736677116,4.7146460786,75.88210899,430.62447113,,,16.929836182,,14.619883041,22.709724304,,13.2,10.1,164.2,33.1,17.7,17.0,22.6,21.323780747,33.8,17.666853617,130.9,31.3,15.3,18.179795283,6.7184466019
37013,Beaufort,12292.83971,11.608894702,19.9,112.22953986,52,85.586311923,7.1,51.722590000000004,206.82988,2983,54,14.800861141,5.1506526951,73.732709978,527.07704581,93.682744651,10.124101894,18.10750122,7.7041602465,20.338983051,17.834926877,42.70577927,14.0,11.5,312.2,38.3,18.2,17.1,26.1,18.144912979,35.4,23.503325942,542.1,30.6,15.7,14.749299027,4.9647005238
37015,Bertie,14627.582675,14.112554113,25.4,103.90462649,34,49.581799933,5.4,28.56327,70.9136,3101,48,21.210013908,5.2912664731,71.951656695,630.69640265,94.73147271,,13.398952773,17.623440709,26.052042787,19.687192388,39.283910433,15.7,14.9,459.2,43.5,18.5,21.0,29.9,16.14093966,43.8,32.323232323,933.9,33.5,16.0,13.774724624,5.4381711119
37017,Bladen,16587.919219,11.323051948,20.9,153.36451323,37,46.669594001,6.9,23.70872,101.7501,3752,47,19.016536118,6.1479119397,70.337360105,735.29082803,93.754507428,8.6705202312,12.812224069,16.443494376,43.108620391,22.180818029,67.477852028,14.2,12.7,346.9,38.6,18.0,17.7,28.2,17.365873641,38.2,30.996884735,577.3,33.1,17.5,17.224341735,4.953145917
37019,Brunswick,10047.602349,8.5209003215,14.8,102.49599797,57,76.812272757,7.6,43.684779999999996,125.65326999999999,2339,59,14.115204982,3.9159118485,77.058210536,405.04480909,62.880808344,7.1526822558,18.068224026,4.6760703118,17.891051628,14.878451319,37.193212015,11.6,9.2,150.4,30.9,16.9,13.9,19.8,20.568514333,36.3,20.868411654,260.7,29.1,13.5,11.764263888,4.6119794019
