county,fips,mental_health_days,physical_health_days,uninsured_pct,unemployment_pct,some_college_pct,child_poverty_pct,pm25,obesity_pct,diabetes_pct,physical_inactivity_pct,excessive_drinking_pct
Alamance,37001,5.1132514682,4.1248293062,12.580197056,3.394925088,61.525093841,16.0,7.4,38.0,11.3,25.8,19.589262277
Alexander,37003,5.2668186957,4.1850326423,11.926506544,3.2198967412,52.521154515,17.4,7.7,33.8,9.7,22.7,20.563716948
Alleghany,37005,5.5497508392,4.6375572096,17.302539237,4.4772620722,52.548488949,24.5,6.4,36.6,11.1,27.2,19.395531165
Anson,37007,5.4290528787,4.6579656971,12.467216785,4.033908214,34.853126689,33.0,7.5,43.1,13.9,29.0,16.409779062
Ashe,37009,5.2628174529,4.2034356846,13.603904444,3.0031201248,61.965134707,22.0,5.9,33.9,9.6,24.1,20.969580041
Avery,37011,5.226335778,4.2230197161,15.698793073,3.02641703,53.086705202,22.1,5.7,33.1,10.1,22.6,21.323780747
Beaufort,37013,5.1335196043,4.2996660822,12.207784229,4.0462427746,60.079051383,30.5,5.9,38.3,11.5,26.1,18.144912979
Bertie,37015,5.3298081465,4.7022071395,11.694702935,4.3768651414,49.462616822,33.5,6.1,43.5,14.9,29.9,16.14093966
Bladen,37017,5.5114526149,4.6256598671,13.971539457,4.2237993523,56.260801257,29.1,6.2,38.6,12.7,28.2,17.365873641
Brunswick,37019,4.9556526691,3.6548657864,10.2509465,4.2059868087,61.970490243,16.8,6.2,30.9,9.2,19.8,20.568514333
Buncombe,37021,4.813131958,3.7721168527,13.109770556,2.7065655549,70.827998293,16.4,5.1,26.2,8.0,18.4,21.084253651
Burke,37023,5.4989310321,4.4646320141,13.47497526,3.2802157392,56.354973772,24.4,7.5,32.0,10.4,24.4,18.95831333
Cabarrus,37025,4.5024242116,3.5183309357,8.7938851026,3.2445663642,71.105907838,12.4,8.5,34.6,9.9,21.4,19.630545787
Caldwell,37027,5.3522018717,4.479213936,13.088596295,3.3837174087,58.056818182,18.1,7.4,35.0,10.5,24.5,19.419142732
Camden,37029,4.8758644053,3.6568466655,9.4065792303,3.2528856243,74.312267658,8.5,6.0,34.3,9.4,21.9,21.452563107
Carteret,37031,5.0970228215,3.8276417875,12.258668047,3.2424826405,72.46063815,14.4,5.7,31.6,9.2,20.0,20.961514078
Caswell,37033,5.055634251,4.2058362907,12.478643296,3.5521628499,52.051835853,23.3,7.3,35.5,12.2,25.8,18.98087305
Catawba,37035,4.9570396067,3.9262983502,11.952563122,3.2910403568,64.660794554,15.6,7.9,34.1,10.1,23.3,20.358774727
Chatham,37037,4.6824296086,3.5994132676,11.45377427,2.9571657431,70.060105184,11.7,7.5,30.7,9.9,20.5,19.593237558
Cherokee,37039,5.3066146459,4.3677050603,13.45510805,3.8657913931,55.256630414,24.5,6.1,31.5,10.6,24.4,20.125043734
Chowan,37041,5.31729152,4.4692715896,11.456677266,3.6004056795,47.079254815,24.6,5.7,39.4,12.2,26.0,17.87628975
Clay,37043,5.2113880929,4.0885809585,13.265967094,3.7098692033,74.170854271,22.2,,32.7,9.6,23.7,20.916495893
Cleveland,37045,5.2651831729,4.4385782591,10.961241878,3.4662743596,56.393069432,26.0,8.1,37.8,11.3,27.2,18.40914522
Columbus,37047,5.7421578066,4.83449378,13.731302319,3.9946260636,52.477721329,30.2,6.5,39.2,13.4,28.9,17.639127948
Craven,37049,5.0542578143,4.0534352557,10.97625947,3.4662490651,66.696914701,25.1,5.7,36.1,11.6,24.5,18.934775801
Cumberland,37051,5.178083706,4.3404621578,10.615419395,4.7144446505,70.976841159,22.0,6.8,39.6,12.2,24.5,17.780233295
Currituck,37053,4.9287528476,3.6068887937,9.8336500058,3.0575902157,66.908699745,10.5,6.0,33.2,9.0,19.7,22.095152119
Dare,37055,4.6391950382,3.386757166,11.023402998,3.9545791163,70.68878197,13.3,5.9,29.5,8.2,17.6,24.297296293
Davidson,37057,5.1346100536,4.0610346507,12.310656824,3.3685089864,59.997061129,21.2,8.3,34.5,10.3,23.1,20.208920052
Davie,37059,4.9035827518,3.8715793246,10.240700219,3.1402247841,62.883172562,13.9,8.3,34.0,9.7,23.0,20.963880883
Duplin,37061,5.266134138,4.5717100412,15.66475041,3.3147872424,56.546348706,26.8,5.9,39.4,12.6,28.4,17.489361341
Durham,37063,4.6344712143,3.5182218252,10.587203944,3.0575628249,77.902544168,15.1,7.3,32.5,10.2,19.1,20.635670417
Edgecombe,37065,5.5067104778,4.6834687958,11.100467993,5.7318168213,52.47568136,39.0,6.7,40.5,14.3,28.6,15.843537371
Forsyth,37067,4.9807551524,3.9458900298,11.490865664,3.5335557831,68.871663066,23.2,8.1,31.8,10.6,22.0,18.100917455
Franklin,37069,5.1425601644,4.0049350118,12.739343467,3.4866065034,62.404494382,15.0,7.3,38.0,11.2,23.7,19.361731921
Gaston,37071,5.1127905007,4.1908309069,11.213357761,3.3918458827,65.330800363,18.5,8.4,36.5,10.9,22.9,20.311071606
Gates,37073,5.3645863218,4.3008615234,9.1778924839,3.3442244859,56.478733927,19.5,6.1,37.3,11.5,24.7,18.974856746
Graham,37075,5.5378281718,4.4059461473,16.458262927,4.3537414966,50.934579439,23.3,5.9,34.0,10.4,23.7,20.965142311
Granville,37077,5.2278382627,4.1424861588,11.997114242,3.047800269,61.28203439,15.8,7.3,37.5,11.8,23.9,18.733120166
Greene,37079,5.219913366,4.7869265967,17.894579215,2.8905926233,44.784110535,29.7,6.4,41.2,13.8,29.5,17.286612002
Guilford,37081,5.3674821198,3.7609998042,10.096884123,3.9140433321,71.857339568,20.6,6.4,33.5,11.0,23.8,17.860905417
