subject,predicate,object,source,confidence
37001,rdf:type,Location,US Census Bureau,1.0
37001,locationType,county,US Census Bureau,1.0
37001,name,Alamance,US Census Bureau,1.0
37001,state,North Carolina,US Census Bureau,1.0
37001,population,171779,US Census Bureau,1.0
37003,rdf:type,Location,US Census Bureau,1.0
37003,locationType,county,US Census Bureau,1.0
37003,name,Alexander,US Census Bureau,1.0
37003,state,North Carolina,US Census Bureau,1.0
37003,population,36505,US Census Bureau,1.0
37005,rdf:type,Location,US Census Bureau,1.0
37005,locationType,county,US Census Bureau,1.0
37005,name,Alleghany,US Census Bureau,1.0
37005,state,North Carolina,US Census Bureau,1.0
37005,population,10989,US Census Bureau,1.0
37007,rdf:type,Location,US Census Bureau,1.0
37007,locationType,county,US Census Bureau,1.0
37007,name,Anson,US Census Bureau,1.0
37007,state,North Carolina,US Census Bureau,1.0
37007,population,22200,US Census Bureau,1.0
37009,rdf:type,Location,US Census Bureau,1.0
37009,locationType,county,US Census Bureau,1.0
37009,name,Ashe,US Census Bureau,1.0
37009,state,North Carolina,US Census Bureau,1.0
37009,population,26759,US Census Bureau,1.0
37011,rdf:type,Location,US Census Bureau,1.0
37011,locationType,county,US Census Bureau,1.0
37011,name,Avery,US Census Bureau,1.0
37011,state,North Carolina,US Census Bureau,1.0
37011,population,17679,US Census Bureau,1.0
37013,rdf:type,Location,US Census Bureau,1.0
37013,locationType,county,US Census Bureau,1.0
37013,name,Beaufort,US Census Bureau,1.0
37013,state,North Carolina,US Census Bureau,1.0
37013,population,44711,US Census Bureau,1.0
37015,rdf:type,Location,US Census Bureau,1.0
37015,locationType,county,US Census Bureau,1.0
37015,name,Bertie,US Census Bureau,1.0
37015,state,North Carolina,US Census Bureau,1.0
37015,population,17818,US Census Bureau,1.0
37017,rdf:type,Location,US Census Bureau,1.0
37017,locationType,county,US Census Bureau,1.0
37017,name,Bladen,US Census Bureau,1.0
37017,state,North Carolina,US Census Bureau,1.0
37017,population,29807,US Census Bureau,1.0
37019,rdf:type,Location,US Census Bureau,1.0
37019,locationType,county,US Census Bureau,1.0
37019,name,Brunswick,US Census Bureau,1.0
37019,state,North Carolina,US Census Bureau,1.0
37019,population,139721,US Census Bureau,1.0
37021,rdf:type,Location,US Census Bureau,1.0
37021,locationType,county,US Census Bureau,1.0
37021,name,Buncombe,US Census Bureau,1.0
37021,state,North Carolina,US Census Bureau,1.0
37021,population,269449,US Census Bureau,1.0
37023,rdf:type,Location,US Census Bureau,1.0
37023,locationType,county,US Census Bureau,1.0
37023,name,Burke,US Census Bureau,1.0
37023,state,North Carolina,US Census Bureau,1.0
37023,population,87799,US Census Bureau,1.0
37025,rdf:type,Location,US Census Bureau,1.0
37025,locationType,county,US Census Bureau,1.0
37025,name,Cabarrus,US Census Bureau,1.0
37025,state,North Carolina,US Census Bureau,1.0
37025,population,226396,US Census Bureau,1.0
37027,rdf:type,Location,US Census Bureau,1.0
37027,locationType,county,US Census Bureau,1.0
37027,name,Caldwell,US Census Bureau,1.0
37027,state,North Carolina,US Census Bureau,1.0
37027,population,80716,US Census Bureau,1.0
37029,rdf:type,Location,US Census Bureau,1.0
37029,locationType,county,US Census Bureau,1.0
37029,name,Camden,US Census Bureau,1.0
37029,state,North Carolina,US Census Bureau,1.0
37029,population,10547,US Census Bureau,1.0
37031,rdf:type,Location,US Census Bureau,1.0
37031,locationType,county,US Census Bureau,1.0
37031,name,Carteret,US Census Bureau,1.0
37031,state,North Carolina,US Census Bureau,1.0
